Pressure (mbar),Temperature (°C),Growth Time (min),No. of Graphene Layers,H2,CH4,C2H4,Ar,C2H2,Substrate_dim_1,Substrate_dim_2,Substrate_dim_3,Substrate_dim_4
8,15,12,0,17,4,12,17,16,0.8046166511585339,0.00571106315018049,-0.5675977649257867,-0.17433360458434893
10,17,13,0,14,15,15,8,16,0.8046166511585339,0.00571106315018049,-0.5675977649257867,-0.17433360458434893
10,16,13,2,16,15,16,8,15,0.8046166511585339,0.00571106315018049,-0.5675977649257867,-0.17433360458434893
10,17,3,2,14,16,15,8,16,-0.4121474079797058,-0.6515894651867478,-0.4695026349153193,-0.43027079701140575
10,16,13,0,3,16,14,8,16,0.8046166511585339,0.00571106315018049,-0.5675977649257867,-0.17433360458434893
11,16,13,0,14,3,15,8,16,0.8051733175348418,0.006061053131995939,-0.5668695123451275,-0.17412107379196057
8,17,13,0,14,16,15,8,16,0.8046166511585339,0.00571106315018049,-0.5675977649257867,-0.17433360458434893
8,17,13,0,14,16,12,8,17,0.8046166511585339,0.00571106315018049,-0.5675977649257867,-0.17433360458434893
10,17,13,0,14,4,12,8,15,0.8046166511585339,0.00571106315018049,-0.5675977649257867,-0.17433360458434893
10,15,13,2,14,16,15,16,16,0.3414211264421941,0.552895292820328,-0.7374696071151373,-0.18405702425474635
8,16,3,0,16,16,12,8,17,0.8046166511585339,0.00571106315018049,-0.5675977649257867,-0.17433360458434893
8,15,13,2,17,11,12,13,16,0.8046166511585339,0.00571106315018049,-0.5675977649257867,-0.17433360458434893
10,16,13,2,14,16,16,15,16,0.8046166511585339,0.00571106315018049,-0.5675977649257867,-0.17433360458434893
10,17,13,2,14,4,15,8,16,0.18142487585188008,-0.1280828641313274,-0.8270079766752368,-0.5164664566586845
10,16,13,2,14,17,14,8,16,0.6172731188826953,0.3148093041301739,-0.41604209902693573,0.5888785703140905
10,17,13,0,14,15,15,16,16,0.8046166511585339,0.00571106315018049,-0.5675977649257867,-0.17433360458434893
8,15,12,2,16,11,15,16,16,0.10942284183924082,-0.38605663648905764,-0.6913169116200445,-0.6008892101000847
8,16,12,2,14,11,12,8,17,0.3412056170168117,0.553709078930859,-0.7370372119550546,-0.1837420230084466
8,17,13,0,16,16,16,8,17,0.19672113626413051,0.4367875917051037,0.865795283557953,0.14462337725350274
8,17,13,0,14,16,12,8,17,0.24165546355064196,-0.05008997666318688,0.9639028042751344,-0.09992504733317675
8,17,12,0,16,15,15,8,16,0.3422325211206147,-0.01707075255709122,-0.9390685356354209,-0.0271251962962239
10,16,3,2,16,15,12,15,17,0.8046166511585339,0.00571106315018049,-0.5675977649257867,-0.17433360458434893
10,15,3,2,16,15,12,15,17,0.3422325211206147,-0.01707075255709122,-0.9390685356354209,-0.0271251962962239
8,16,13,2,14,11,16,16,17,-0.7070443751694648,-0.3971895160511892,0.5721202299078361,0.12250380569781592
11,12,12,2,11,11,17,7,16,0.18647642091976568,-0.7497016439013481,0.08190965479650045,-0.6296545068715768
11,3,11,2,5,11,17,1,8,0.051553240551359285,-0.013176518140922192,-0.809865008661465,-0.5841980062479679
11,15,11,2,11,3,17,7,8,0.051553240551359285,-0.013176518140922192,-0.809865008661465,-0.5841980062479679
11,12,11,2,13,3,16,7,16,0.051433352951383036,-0.013155276476018555,-0.8102642677267565,-0.5836551767527135
13,8,3,2,9,4,2,11,4,0.4180574071841181,-0.2841342448827121,-0.6382463709679609,-0.5806352599779413
17,12,3,0,3,3,14,8,16,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
16,13,16,0,3,12,8,5,11,0.6040646440003118,-0.6982246046238695,-0.3766399624942318,-0.07570103050131674
8,15,12,0,11,3,17,7,8,-0.7266334615464342,-0.3811900798273564,0.5696727698528206,0.046592605534311424
13,17,13,0,3,12,2,5,10,-0.7266334615464342,-0.3811900798273564,0.5696727698528206,0.046592605534311424
8,13,3,0,7,15,16,1,15,-0.5244139350028285,-0.4515532956971218,0.6358747439407119,0.3416913167440032
8,13,3,0,7,17,17,1,8,-0.5244139350028285,-0.4515532956971218,0.6358747439407119,0.3416913167440032
10,3,13,0,17,12,17,7,15,0.5724152138583218,0.5113932855790942,-0.5631875241185357,0.3060025213709592
8,3,13,0,3,12,2,5,11,-0.3075218315458693,0.31226916172410724,0.5586031209726855,0.7041880764386547
2,15,3,0,3,13,8,5,11,-0.533153755667061,0.2137572722256,0.7871454345470793,0.22462628132181736
2,11,12,0,3,12,8,5,11,-0.8650946394545038,0.11912778543307916,-0.010348340471958348,0.48714756221741345
8,15,13,0,14,16,15,8,16,0.2996229987903228,-0.771917988409462,0.14296496896579344,0.5421528340001495
12,15,13,0,8,4,2,10,2,0.034622558920370944,-0.22960042273499112,-0.9487028526206452,-0.21458756190228948
17,12,13,1,11,3,17,7,15,-0.2992289461737793,0.017380027358589817,-0.33522640691648947,0.8931871184284984
17,13,3,1,3,12,9,5,11,-0.2992289461737793,0.017380027358589817,-0.33522640691648947,0.8931871184284984
8,13,3,1,17,17,12,8,15,0.1059586668068054,-0.22098673334029326,0.7715375167487689,0.5870838823075059
17,13,15,1,17,17,17,8,16,0.016196653441299447,-0.18776909192986044,0.5405311079814679,0.8199430210919931
16,12,3,1,3,9,2,5,11,0.016196653441299447,-0.18776909192986044,0.5405311079814679,0.8199430210919931
17,12,3,1,3,3,8,5,11,-0.37096836831298485,-0.7294013466829756,-0.5711424374026737,-0.06443959470695461
16,13,3,1,14,12,14,8,11,-0.2992289461737793,0.017380027358589817,-0.33522640691648947,0.8931871184284984
15,13,13,1,11,3,17,13,15,-0.2992289461737793,0.017380027358589817,-0.33522640691648947,0.8931871184284984
8,12,3,1,3,12,5,5,16,0.37116222132273313,-0.2698203864223591,-0.35860820195446436,-0.812918029093124
12,15,3,1,9,4,2,10,4,0.4601921851133229,-0.4163521336735573,-0.7224632737266539,-0.30482925001099764
16,13,3,1,3,17,5,5,11,-0.1296329830558889,-0.6798003460251988,-0.38541310908549364,-0.6103470443879491
16,3,3,1,14,15,8,5,11,-0.0057794180620528495,-0.7606591681670972,-0.4854507052122202,-0.4309313646268532
8,3,13,0,14,15,15,13,16,-0.6578825018264933,0.2668334507408155,0.023060393064023063,0.7038883019542203
12,8,15,1,3,9,8,5,11,-0.6579217768492267,0.2666193689854048,0.02313365764729913,0.7039303101253976
2,15,13,0,3,16,2,8,10,-0.5885527771526039,0.11120044568324079,0.6979356129064036,0.3925888047598512
8,12,13,0,16,17,12,8,16,-0.8202100448408034,0.5362693031650115,0.11854599069964741,-0.16005488094462902
11,11,13,0,7,15,17,7,2,-0.8149185316030113,0.47296523030351956,-0.16241277636852103,-0.29297400541037666
11,12,12,0,11,15,17,1,15,0.4077773377741823,0.8230368455075239,-0.2729546985101001,0.2860484684386289
2,15,16,0,3,9,8,5,11,0.3197205446057101,-0.8093274116587048,0.19481230280635387,-0.4525661065194068
2,17,15,0,3,13,7,5,11,-0.6300739519982,0.4368711644518327,-0.2735297365262328,-0.5808027926239329
2,16,12,0,3,12,8,5,11,-0.8161481647656915,-0.5229018330533535,0.24545199143325505,-0.015138231088395885
11,3,16,0,14,16,12,17,16,-0.7254099903386809,0.615330751804763,-0.29792519603210543,-0.07993115393544287
11,13,16,0,17,17,17,1,15,-0.44960821873382345,-0.6772499282189693,0.5694196237260046,0.12225496509399703
11,13,12,0,14,17,14,1,16,-0.44960821873382345,-0.6772499282189693,0.5694196237260046,0.12225496509399703
8,13,16,0,17,3,15,16,16,-0.4509941830836473,-0.676649074619552,0.5690290786562733,0.12229547941281564
11,15,16,0,14,3,17,1,15,-0.6005883111640264,0.31724304589706737,-0.28015490520765507,-0.6783537126095673
11,12,9,0,14,15,14,1,11,-0.4503203493634486,0.40738921751744106,-0.4034310173472413,-0.6844625794313948
11,7,5,1,14,4,16,16,16,-0.12082516046683812,0.2379782509194883,-0.586965902267889,-0.7643550629532763
11,13,15,0,17,15,17,1,15,0.353651669657109,-0.6352895993840406,0.10053404390252495,-0.6791395493415249
8,13,9,1,14,17,14,7,11,0.3679870372186308,-0.6352827451983204,0.3143291476241951,-0.6018293454511725
8,13,3,2,3,12,2,5,11,0.27132214037658003,-0.4961657389756114,-0.06949577265783119,-0.8218115314297725
8,3,16,0,17,15,12,13,15,-0.8090017046656847,-0.5157850429746419,-0.11686170067396624,0.25656456147966233
8,3,16,0,14,3,12,13,17,-0.8090017046656847,-0.5157850429746419,-0.11686170067396624,0.25656456147966233
8,3,16,0,17,16,17,7,17,0.10479556324805171,-0.31005278960982946,0.9042969280279345,0.27410257849558245
8,3,16,0,14,16,15,8,16,-0.1393951480111511,0.664351330521231,0.7338954895289955,0.024570567649434383
11,3,16,0,17,3,17,7,16,0.41669520812890837,-0.3243133218926917,0.6486266437853834,0.5481509370027953
8,8,13,0,11,15,12,1,2,-0.08261970116819732,-0.9702726737191242,0.06901448097582696,0.21675314306477073
8,8,17,0,14,15,14,8,16,-0.3095022716883117,-0.6741691036775418,0.5920030032293319,0.3150187417184036
13,8,13,0,9,12,2,11,2,-0.3093310574335709,-0.6750097943996417,0.5910691950960723,0.315140097385375
13,3,3,0,3,12,2,5,11,-0.08395706538183408,-0.7144510607007043,-0.18124209003054667,-0.6705685631145173
11,12,3,2,14,17,15,16,16,0.12931971114367455,-0.9275666082031913,-0.11687618103362675,-0.3305095429229523
8,12,13,0,13,3,17,7,15,0.23499952354906414,-0.6072694791712455,-0.4200104263431786,-0.6321315095467227
8,3,3,0,14,15,12,8,16,0.01431484668022736,-0.7632316296330415,-0.14350298676958825,-0.6298249419326141
13,12,12,2,9,4,2,11,4,0.9798692184455139,0.027629666520113692,-0.1975796737193317,-0.0074289167398453836
16,12,3,1,3,12,2,5,11,0.16671874185877228,-0.9403798104844356,-0.27052474301612095,0.12127257135208609
16,12,3,0,3,13,8,5,11,-0.05512198759106744,0.2007388912273401,-0.8965038308211285,0.39108355290892716
